,EGRA Section 1a Score,EGRA Section 1b Score,EGRA Section 1c Score,EGRA Section 2a Score,EGRA Section 2b Score,EGRA Section 3 Letters Correct,EGRA Section 3 Time Completed,EGRA Section 3 LPM,EGRA Section 4 Words Correct,EGRA Section 4 Time Completed,EGRA Section 4: WPM,EGRA Section 5 Words Correct,EGRA Section 5 Time Completed,EGRA Section 5 CWPM,EGRA Section 5 Questions Correct,EGRA Section 6 Written Words Correct,EGRA Section 6 Correct Space/Direction,EGRA Section 6 Correct Punctuation,EGRA Section 6 Correct Use of Capitals,EGRA Section 7a Score,EGRA Section 1 Total Score,EGRA Section 6 Total Score
51,1,1,1,15,6,41,60.0,41.0,14,60.0,14,44,81.0,33,8,1,2,0,0,1,3,3
52,1,1,1,50,9,85,60.0,85.0,49,37.0,79,60,35.0,103,8,0,2,0,0,1,3,2
53,1,1,1,50,9,85,60.0,85.0,49,37.0,79,60,35.0,103,8,0,2,0,0,1,3,2
54,1,1,1,37,9,61,60.0,61.0,47,60.0,47,58,51.0,68,10,2,2,0,0,4,3,4
55,1,1,1,37,9,61,60.0,61.0,47,60.0,47,58,51.0,68,10,2,2,0,0,4,3,4
56,1,0,0,27,6,67,60.0,67.0,16,60.0,16,53,80.0,40,4,1,2,0,0,4,1,3
57,1,0,0,27,6,67,60.0,67.0,16,60.0,16,53,80.0,40,4,1,2,0,0,4,1,3
58,1,1,1,19,8,64,60.0,64.0,11,60.0,11,40,135.0,18,2,0,2,0,0,4,3,2
59,1,1,1,19,8,64,60.0,64.0,11,60.0,11,40,135.0,18,2,0,2,0,0,4,3,2
60,1,1,1,2,2,18,60.0,18.0,3,60.0,3,33,180.0,11,2,0,2,1,1,4,3,4
61,1,1,1,2,2,18,60.0,18.0,3,60.0,3,33,180.0,11,2,0,2,1,1,4,3,4
62,1,1,1,8,1,13,60.0,13.0,3,60.0,3,22,180.0,7,0,0,2,0,0,0,3,2
63,1,1,1,8,1,13,60.0,13.0,3,60.0,3,22,180.0,7,0,0,2,0,0,0,3,2
64,1,1,1,5,4,35,60.0,35.0,5,60.0,5,17,180.0,6,4,0,2,0,0,3,3,2
65,1,1,1,5,4,35,60.0,35.0,5,60.0,5,17,180.0,6,4,0,2,0,0,3,3,2
66,1,1,1,5,7,13,60.0,13.0,1,60.0,1,11,180.0,4,2,0,2,0,0,4,3,2
67,1,1,1,5,7,13,60.0,13.0,1,60.0,1,11,180.0,4,2,0,2,0,0,4,3,2
68,1,1,0,30,6,56,60.0,56.0,38,60.0,38,57,56.0,61,6,1,2,0,0,3,2,3
69,1,1,0,30,6,56,60.0,56.0,38,60.0,38,57,56.0,61,6,1,2,0,0,3,2,3
70,1,1,1,18,8,17,60.0,17.0,21,60.0,21,53,93.0,34,6,0,2,0,0,4,3,2
71,1,1,1,18,8,17,60.0,17.0,21,60.0,21,53,93.0,34,6,0,2,0,0,4,3,2
72,1,1,1,38,6,73,60.0,73.0,43,60.0,43,60,45.0,80,9,3,2,0,0,4,3,5
73,1,1,1,38,6,73,60.0,73.0,43,60.0,43,60,45.0,80,9,3,2,0,0,4,3,5
74,1,1,1,24,4,78,60.0,78.0,38,60.0,38,54,55.0,59,6,2,2,0,0,4,3,4
75,1,1,1,24,4,78,60.0,78.0,38,60.0,38,54,55.0,59,6,2,2,0,0,4,3,4
76,1,1,1,17,5,70,60.0,70.0,24,60.0,24,53,101.0,31,6,0,2,0,1,2,3,3
77,1,1,1,17,5,70,60.0,70.0,24,60.0,24,53,101.0,31,6,0,2,0,1,2,3,3
78,1,1,1,11,9,40,60.0,40.0,9,60.0,9,48,180.0,16,3,1,2,0,0,0,3,3
79,1,1,1,11,9,40,60.0,40.0,9,60.0,9,48,180.0,16,3,1,2,0,0,0,3,3
80,1,1,1,24,5,89,60.0,89.0,27,60.0,27,56,84.0,40,3,0,2,0,0,1,3,2
81,1,1,1,24,5,89,60.0,89.0,27,60.0,27,56,84.0,40,3,0,2,0,0,1,3,2
82,1,1,1,15,6,71,60.0,71.0,13,60.0,13,47,140.0,20,0,0,2,0,0,0,3,2
