,EGRA Section 2a Score,EGRA Section 2b Score,EGRA Section 3 LPM,EGRA Section 4: WPM,EGRA Section 5 CWPM,EGRA Section 5 Questions Correct,EGRA Section 7a Score,EGRA Section 1 Total Score,EGRA Section 6 Total Score
199,25,8,56.0,35,71,7,3,3,2
200,25,8,56.0,35,71,7,3,3,2
201,15,1,70.0,11,23,6,3,1,1
202,15,1,70.0,11,23,6,3,1,1
203,50,2,63.0,73,144,8,4,3,7
204,50,2,63.0,73,144,8,4,3,7
205,33,0,52.0,42,88,10,3,3,6
206,33,0,52.0,42,88,10,3,3,6
207,18,3,50.0,66,109,6,2,3,2
208,47,5,67.0,69,106,10,3,3,6
209,8,6,65.0,36,98,8,3,3,7
210,15,3,37.0,49,71,2,4,3,2
211,0,2,5.0,0,0,0,2,3,1
212,17,4,55.0,32,66,8,3,3,4
213,18,7,61.0,12,30,9,4,3,2
214,2,5,5.0,2,6,4,4,3,1
215,0,3,2.0,47,97,0,2,3,1
216,17,10,80.0,29,49,8,4,3,3
217,20,8,73.0,11,39,7,1,3,3
218,11,6,47.0,34,50,5,3,3,4
219,24,5,82.0,22,86,6,4,3,2
220,2,7,23.0,59,109,1,1,2,1
221,4,6,45.0,3,11,0,4,3,2
222,15,7,17.0,7,25,1,0,3,2
223,0,2,55.0,19,46,0,2,3,2
224,7,4,60.0,14,32,6,3,3,4
225,31,4,68.0,44,72,8,4,3,7
226,0,2,60.0,7,22,4,3,3,2
227,48,8,86.0,95,92,10,4,3,6
228,50,9,87.0,64,90,9,4,2,8
229,49,8,99.0,97,133,7,4,2,7
230,47,8,65.0,58,111,8,4,3,7
231,31,9,78.0,65,124,10,4,3,8
232,18,6,66.0,44,101,9,4,3,8
233,37,7,65.0,53,95,8,4,2,7
234,34,6,64.0,48,89,7,4,3,4
235,0,4,0.0,0,0,0,4,3,0
236,0,2,3.0,0,0,0,3,1,0
237,32,2,72.0,67,102,8,4,3,5
238,19,0,60.0,46,53,10,4,3,7
239,12,8,73.0,21,49,9,4,3,5
240,15,8,61.0,17,33,10,4,3,6
241,0,4,32.0,3,7,2,3,3,4
242,0,4,19.0,2,9,1,3,3,4
